date;ts;serveur;ip;user
Feb  5 00:04:07 ;1675551847;3973600;186.31.94.188;file;
Feb  5 00:10:24 ;1675552224;3973923;194.110.203.109;or;
Feb  5 00:12:49 ;1675552369;3974013;179.60.147.157;unknown;
Feb  5 00:29:32 ;1675553372;3974692;179.60.147.157;admin;
Feb  5 00:29:46 ;1675553386;3974704;43.153.106.58;admin;
Feb  5 00:36:44 ;1675553804;3974992;209.141.53.90;chia;
Feb  5 00:37:46 ;1675553866;3975033;209.141.53.90;vagrant;
Feb  5 00:37:48 ;1675553868;3975036;209.141.53.90;hadoop;
Feb  5 00:46:16 ;1675554376;3975477;179.60.147.157;debian;
Feb  5 01:03:00 ;1675555380;3976207;179.60.147.157;admin;
Feb  5 01:19:45 ;1675556385;3977099;179.60.147.157;user;
Feb  5 01:36:31 ;1675557391;3977779;179.60.147.157;user;
Feb  5 01:51:44 ;1675558304;3978431;194.110.203.109;os;
Feb  5 01:53:45 ;1675558425;3978520;13.90.102.70;ubuntu;
Feb  5 01:56:08 ;1675558568;3978621;157.245.207.215;maurice;
Feb  5 01:57:50 ;1675558670;3978691;13.90.102.70;ubuntu;
Feb  5 01:58:04 ;1675558684;3978703;20.231.71.73;ubuntu;
Feb  5 01:59:12 ;1675558752;3978747;157.245.207.215;admin;
Feb  5 01:59:22 ;1675558762;3978757;137.184.184.139;admin;
Feb  5 01:59:46 ;1675558786;3978777;52.142.11.171;Admin;
Feb  5 02:03:59 ;1675559039;3978966;52.142.11.171;admin;
Feb  5 02:06:24 ;1675559184;3979072;43.129.6.207;ali;
Feb  5 02:08:38 ;1675559318;3979160;52.142.11.171;ubuntu;
Feb  5 02:10:03 ;1675559403;3979282;179.60.147.157;test;
Feb  5 02:10:08 ;1675559408;3979287;52.142.11.171;ubuntu;
Feb  5 02:14:20 ;1675559660;3979460;43.129.6.207;test2;
Feb  5 02:16:05 ;1675559765;3979538;188.48.202.98;deploy;
Feb  5 02:16:12 ;1675559772;3979543;188.48.202.98;deploy;
Feb  5 02:23:18 ;1675560198;3979833;43.129.6.207;admin;
Feb  5 02:23:44 ;1675560224;3979846;114.34.101.42;soporte;
Feb  5 02:24:51 ;1675560291;3979896;43.129.6.207;testuser;
Feb  5 02:26:46 ;1675560406;3979999;179.60.147.157;blank;
Feb  5 02:32:00 ;1675560720;3980206;137.184.184.139;ftpusertest;
Feb  5 03:00:07 ;1675562407;3981419;179.60.147.157;debian;
Feb  5 03:07:57 ;1675562877;3981714;186.7.105.30;btest;
Feb  5 03:16:49 ;1675563409;3982139;179.60.147.157;config;
Feb  5 03:32:43 ;1675564363;3982772;194.110.203.109;oz;
Feb  5 03:33:28 ;1675564408;3982802;179.60.147.157;debian;
Feb  5 03:50:19 ;1675565419;3983542;179.60.147.157;admin;
Feb  5 04:07:02 ;1675566422;3984218;179.60.147.157;test;
Feb  5 04:20:49 ;1675567249;3984846;59.103.236.31;crmadmin;
Feb  5 04:23:38 ;1675567418;3984959;59.103.236.31;testuser;
Feb  5 04:23:52 ;1675567432;3984969;179.60.147.157;debian;
Feb  5 04:25:49 ;1675567549;3985050;179.52.28.179;ubuntu;
Feb  5 04:31:21 ;1675567881;3985295;161.35.59.177;admin;
Feb  5 04:34:59 ;1675568099;3985437;69.176.89.126;jason;
Feb  5 04:35:20 ;1675568120;3985465;45.79.227.90;test;
Feb  5 04:35:41 ;1675568141;3985482;98.235.49.158;pi;
Feb  5 04:35:41 ;1675568141;3985484;98.235.49.158;pi;
Feb  5 04:37:39 ;1675568259;3985571;45.79.227.90;admin;
Feb  5 04:37:49 ;1675568269;3985578;167.99.12.172;ubuntu;
Feb  5 04:38:10 ;1675568290;3985593;69.176.89.126;svaadmin;
Feb  5 04:40:39 ;1675568439;3985772;176.111.173.164;postgres;
Feb  5 04:40:52 ;1675568452;3985782;179.60.147.157;ubnt;
Feb  5 04:41:07 ;1675568467;3985796;20.194.105.28;jessica;
Feb  5 04:43:54 ;1675568634;3985909;20.194.105.28;ubuntu;
Feb  5 04:44:53 ;1675568693;3985950;69.176.89.126;administrador;
Feb  5 04:49:12 ;1675568952;3986140;20.194.105.28;ali;
Feb  5 04:54:26 ;1675569266;3986379;45.79.227.90;ubuntu;
Feb  5 04:57:53 ;1675569473;3986530;179.60.147.157;default;
Feb  5 05:05:53 ;1675569953;3986879;69.176.89.126;ali;
Feb  5 05:09:18 ;1675570158;3987063;59.103.236.31;ubuntu;
Feb  5 05:14:16 ;1675570456;3987279;168.228.4.124;admin;
Feb  5 05:14:35 ;1675570475;3987295;194.110.203.109;p;
Feb  5 05:14:51 ;1675570491;3987305;179.60.147.157;user;
Feb  5 05:43:29 ;1675572209;3988544;82.156.30.168;admin;
Feb  5 05:43:29 ;1675572209;3988545;82.156.30.168;web;
Feb  5 05:43:29 ;1675572209;3988546;82.156.30.168;ubuntu;
Feb  5 05:43:29 ;1675572209;3988550;82.156.30.168;user;
Feb  5 05:43:29 ;1675572209;3988549;82.156.30.168;esuser;
Feb  5 05:43:29 ;1675572209;3988558;82.156.30.168;admin;
Feb  5 05:54:12 ;1675572852;3989025;168.228.4.124;test1;
Feb  5 05:58:12 ;1675573092;3989205;168.228.4.124;admin;
Feb  5 05:59:40 ;1675573180;3989265;128.201.78.253;ubuntu;
Feb  5 06:01:56 ;1675573316;3989377;36.91.119.221;ubuntu;
Feb  5 06:02:00 ;1675573320;3989383;143.198.128.136;ubuntu;
Feb  5 06:07:53 ;1675573673;3989642;165.154.229.109;ubuntu;
Feb  5 06:27:07 ;1675574827;3990597;128.201.78.253;ubuntu;
Feb  5 06:43:27 ;1675575807;3991321;128.201.78.253;ubuntu;
Feb  5 06:55:18 ;1675576518;3991819;125.229.22.86;zou;
Feb  5 06:55:25 ;1675576525;3991823;125.229.22.86;guest1;
Feb  5 06:55:43 ;1675576543;3991845;216.172.178.46;testftp;
Feb  5 06:56:20 ;1675576580;3991870;194.110.203.109;pa;
Feb  5 06:59:41 ;1675576781;3992008;45.15.159.201;test;
Feb  5 06:59:57 ;1675576797;3992024;113.253.196.143;ubuntu;
Feb  5 07:00:03 ;1675576803;3992046;52.172.30.44;test;
Feb  5 07:04:10 ;1675577050;3992222;113.253.196.143;admin;
Feb  5 07:08:29 ;1675577309;3992421;113.253.196.143;test;
Feb  5 07:09:52 ;1675577392;3992527;113.253.196.143;ali;
Feb  5 07:28:53 ;1675578533;3993352;170.64.152.167;ubuntu;
Feb  5 07:31:52 ;1675578712;3993508;45.15.159.201;admin;
Feb  5 07:32:33 ;1675578753;3993535;43.128.188.206;ubuntu;
Feb  5 07:32:58 ;1675578778;3993558;172.245.191.105;test;
Feb  5 07:33:48 ;1675578828;3993603;45.15.159.201;admin;
Feb  5 07:34:05 ;1675578845;3993619;178.128.98.121;ubuntu;
Feb  5 07:34:43 ;1675578883;3993650;165.154.226.249;ubuntu;
Feb  5 07:36:10 ;1675578970;3993733;185.73.17.153;vnc;
Feb  5 07:37:09 ;1675579029;3993779;165.154.226.249;testuser;
Feb  5 07:37:39 ;1675579059;3993805;185.73.17.153;admin;
Feb  5 07:43:16 ;1675579396;3994138;185.73.17.153;admin;
Feb  5 07:44:13 ;1675579453;3994182;43.128.188.206;test;
Feb  5 07:48:56 ;1675579736;3994383;165.154.226.249;ubuntu;
Feb  5 07:55:55 ;1675580155;3994695;185.73.17.153;test;
Feb  5 08:08:56 ;1675580936;3995249;172.245.191.105;admin;
Feb  5 08:16:17 ;1675581377;3995629;43.128.188.206;ubuntu;
Feb  5 08:19:49 ;1675581589;3995774;165.154.226.249;db2admin;
Feb  5 08:22:05 ;1675581725;3995877;83.8.199.180;pi;
Feb  5 08:22:05 ;1675581725;3995879;83.8.199.180;pi;
Feb  5 08:38:02 ;1675582682;3996535;194.110.203.109;pb;
Feb  5 09:12:34 ;1675584754;3998070;51.79.223.160;administrador;
Feb  5 09:17:43 ;1675585063;3998298;51.79.223.160;test;
Feb  5 09:18:46 ;1675585126;3998349;188.166.95.44;ubuntu;
Feb  5 09:23:03 ;1675585383;3998535;51.79.223.160;roger;
Feb  5 09:24:15 ;1675585455;3998589;188.166.95.44;ubuntu;
Feb  5 09:25:38 ;1675585538;3998658;188.166.95.44;ubuntu;
Feb  5 09:32:34 ;1675585954;3998964;51.79.223.160;pgadmin;
Feb  5 09:38:49 ;1675586329;3999235;188.166.95.44;test;
Feb  5 09:41:28 ;1675586488;3999476;51.79.223.160;test;
Feb  5 09:41:33 ;1675586493;3999498;176.111.173.164;postgres;
Feb  5 09:44:23 ;1675586663;3999980;114.25.30.186;dux;
Feb  5 09:57:21 ;1675587441;4000527;188.166.95.44;sysadmin;
Feb  5 10:03:51 ;1675587831;4000802;51.79.223.160;ensadmin;
Feb  5 10:20:02 ;1675588802;4002039;194.110.203.109;pc;
Feb  5 10:20:54 ;1675588854;4002073;41.129.134.33;test2;
Feb  5 10:22:32 ;1675588952;4002137;111.62.70.154;ubuntu;
Feb  5 10:23:25 ;1675589005;4002169;61.70.128.48;postgres;
Feb  5 10:23:52 ;1675589032;4002184;61.70.128.48;postgres;
Feb  5 10:27:11 ;1675589231;4002350;41.129.134.33;testftp;
Feb  5 10:37:17 ;1675589837;4002784;41.129.134.33;ubuntu;
Feb  5 10:39:28 ;1675589968;4002927;111.62.70.154;tester;
Feb  5 10:44:22 ;1675590262;4003135;111.62.70.154;admin;
Feb  5 10:50:02 ;1675590602;4003379;196.218.238.188;guest1;
Feb  5 10:50:03 ;1675590603;4003383;196.218.238.188;oscar;
Feb  5 10:50:06 ;1675590606;4003387;196.218.238.188;cj;
Feb  5 10:54:34 ;1675590874;4003610;111.62.70.154;admin;
Feb  5 11:07:08 ;1675591628;4004167;150.136.175.119;ubuntu;
Feb  5 11:14:28 ;1675592068;4004535;41.129.134.33;lubuntu;
Feb  5 11:16:42 ;1675592202;4004641;114.35.191.224;ansible;
Feb  5 11:28:25 ;1675592905;4005317;150.136.175.119;ubuntu;
Feb  5 11:31:45 ;1675593105;4005466;185.182.105.17;mike;
Feb  5 11:37:06 ;1675593426;4005688;200.73.135.7;ali;
Feb  5 11:39:00 ;1675593540;4005762;51.79.249.213;admin;
Feb  5 11:39:19 ;1675593559;4005832;51.79.249.213;admin;
Feb  5 11:39:35 ;1675593575;4005840;51.79.249.213;admin;
Feb  5 11:41:33 ;1675593693;4005956;120.202.27.64;ubuntu;
Feb  5 11:42:02 ;1675593722;4005977;51.79.249.213;sonar;
Feb  5 11:42:05 ;1675593725;4005982;51.79.249.213;hadoop;
Feb  5 11:42:17 ;1675593737;4005996;51.79.249.213;sonar;
Feb  5 11:42:20 ;1675593740;4005993;200.73.135.7;admin;
Feb  5 11:42:48 ;1675593768;4006018;120.202.27.64;testftp;
Feb  5 11:46:24 ;1675593984;4006177;51.79.249.213;git;
Feb  5 11:46:31 ;1675593991;4006183;51.79.249.213;git;
Feb  5 11:46:44 ;1675594004;4006193;51.79.249.213;guest;
Feb  5 12:02:59 ;1675594979;4006876;194.110.203.109;pd;
Feb  5 12:03:26 ;1675595006;4006897;185.182.105.17;admin10;
Feb  5 12:08:53 ;1675595333;4007123;210.195.149.145;hadoop;
Feb  5 12:18:45 ;1675595925;4007592;200.73.135.7;admin1;
Feb  5 12:36:37 ;1675596997;4008336;87.103.15.162;stest;
Feb  5 12:50:04 ;1675597804;4008992;87.103.15.162;testuser;
Feb  5 12:50:16 ;1675597816;4009003;134.209.170.7;stest;
Feb  5 12:53:38 ;1675598018;4009137;82.64.25.207;pi;
Feb  5 12:53:39 ;1675598019;4009139;82.64.25.207;pi;
Feb  5 13:02:11 ;1675598531;4009500;134.209.170.7;ubuntu;
Feb  5 13:02:41 ;1675598561;4009521;139.218.120.28;reza;
Feb  5 13:15:41 ;1675599341;4010132;195.9.32.22;ubuntu;
